name, first>last, (pen)ultimate, avgDelta
a christmas tale h c andersen.txt, false, false, false, 
a confidant without knowing it or the stratagem la fontain.txt, true, true, true, 
a lac of rupees for a bit of advice indian writer.txt, true, false, true, 
a leaf from the sky h c andersen.txt, false, false, false, 
a riddling tale brothers grimm.txt, false, false, false, 
a story from the sand dunes h c andersen.txt, false, false, false, 
a story of old japan japanese writer.txt, false, false, false, 
a terrible fright arthur scott bailey.txt, false, false, false, 
alice sick la fontain.txt, true, false, true, 
allerleirauh brothers grimm.txt, false, false, false, 
an imitation of anacreon la fontain.txt, false, false, false, 
an old chinese story japanese writer.txt, true, true, true, 
anne lisbeth h c andersen.txt, false, false, false, 
bearskin brothers grimm.txt, true, true, true, 
belphegor addressed to miss de chammelay la fontain.txt, false, false, false, 
briar rose brothers grimm.txt, false, false, false, 
brides on their trial brothers grimm.txt, false, false, false, 
brother lustig brothers grimm.txt, false, false, false, 
cat and mouse in partnership brothers grimm.txt, false, false, false, 
charming h c andersen.txt, true, false, true, 
cinderella brothers grimm.txt, false, false, false, 
clever elsie brothers grimm.txt, false, false, false, 
clever grethel brothers grimm.txt, false, false, false, 
clever hans brothers grimm.txt, true, false, true, 
death s messengers brothers grimm.txt, false, false, false, 
doctor knowall brothers grimm.txt, false, false, false, 
donkey cabbages brothers grimm.txt, false, false, false, 
eighth evening h c andersen.txt, true, false, true, 
evaporated apples arthur scott bailey.txt, false, false, false, 
eve s various children brothers grimm.txt, true, true, true, 
everything in its right place h c andersen.txt, true, false, true, 
fair katrinelje and pif paf poltrie brothers grimm.txt, true, false, true, 
faithful john brothers grimm.txt, true, false, true, 
fatty and the green corn arthur scott bailey.txt, false, false, false, 
fatty coon and the monster arthur scott bailey.txt, false, false, false, 
fatty coon at home arthur scott bailey.txt, false, false, false, 
fatty coon goes fishing arthur scott bailey.txt, true, false, true, 
fatty coon plays robber arthur scott bailey.txt, false, false, false, 
fatty coon s mistake arthur scott bailey.txt, false, false, false, 
fatty discovers mrs. turtle s secret arthur scott bailey.txt, true, false, true, 
fatty finds the moon arthur scott bailey.txt, true, true, true, 
fatty grows even fatter arthur scott bailey.txt, true, true, true, 
fatty learns something about eggs arthur scott bailey.txt, true, false, true, 
fatty meets jimmy rabbit arthur scott bailey.txt, true, false, true, 
fatty visits the smoke house arthur scott bailey.txt, false, false, false, 
ferdinand the faithful brothers grimm.txt, false, false, false, 
feronde la fontain.txt, true, false, true, 
fifth evening h c andersen.txt, true, true, true, 
fitcher s bird brothers grimm.txt, false, false, false, 
forty fat turkeys arthur scott bailey.txt, true, false, true, 
fourteenth evening h c andersen.txt, true, true, true, 
fourth evening h c andersen.txt, true, false, true, 
frau trude brothers grimm.txt, true, false, true, 
frederick and catherine brothers grimm.txt, false, false, false, 
friar philip s geese la fontain.txt, true, true, true, 
fundevogel bird foundling brothers grimm.txt, false, false, false, 
gambling hansel brothers grimm.txt, false, false, false, 
godfather death brothers grimm.txt, false, false, false, 
going a travelling brothers grimm.txt, false, false, false, 
good humour h c andersen.txt, false, false, false, 
hans carvel s ring la fontain.txt, true, true, true, 
hans in luck brothers grimm.txt, false, false, false, 
hans married brothers grimm.txt, false, false, false, 
hans the hedgehog brothers grimm.txt, true, false, true, 
hansel and grethel brothers grimm.txt, true, false, true, 
harisaman indian writer.txt, false, true, false, 
herr korbes brothers grimm.txt, false, false, false, 
how an old man lost his wen japanese writer.txt, false, false, false, 
how six men got on in the world brothers grimm.txt, false, false, false, 
how sun moon and wind went out to dinner indian writer.txt, true, true, true, 
how the raja s son won the princess labam indian writer.txt, true, false, true, 
how the wicked sons were duped indian writer.txt, false, true, false, 
ib and christine h c andersen.txt, false, false, false, 
in the duck yard h c andersen.txt, false, false, false, 
in the uttermost parts of the sea h c andersen.txt, true, false, true, 
indianfairytales the boy who had a moon on his forehead and a star on his chin indian writer.txt, true, true, true, 
iron john brothers grimm.txt, true, true, true, 
jack the dullard an old story told anew h c andersen.txt, false, false, false, 
jasper jay tells some news arthur scott bailey.txt, false, true, false, 
joconde la fontain.txt, false, false, false, 
johnnie green is disappointed arthur scott bailey.txt, true, true, true, 
johnnie green loses his pet arthur scott bailey.txt, false, false, false, 
jorinda and joringel brothers grimm.txt, true, false, true, 
king candaules and the doctor of laws la fontain.txt, false, false, false, 
king thrushbeard brothers grimm.txt, true, false, true, 
knoist and his three sons brothers grimm.txt, true, false, true, 
lazy harry brothers grimm.txt, false, false, false, 
lean lisa brothers grimm.txt, false, false, false, 
little brother and little sister brothers grimm.txt, false, false, false, 
little red cap brothers grimm.txt, false, false, false, 
little snow white brothers grimm.txt, true, false, true, 
loving laili indian writer.txt, false, false, false, 
maid maleen brothers grimm.txt, false, false, false, 
master pfriem master cobbler s awl brothers grimm.txt, true, true, true, 
momotaro or the story of the son of a peach japanese writer.txt, false, false, false, 
mother holle brothers grimm.txt, false, false, false, 
mrs. tiggy winkle s beatrix potter.txt, true, false, true, 
my lord bag of rice japanese writer.txt, true, true, true, 
neighbour peter s mare la fontain.txt, false, false, false, 
nicaise la fontain.txt, false, false, false, 
nineteenth evening h c andersen.txt, true, false, true, 
ninth evening h c andersen.txt, false, true, false, 
odds and ends brothers grimm.txt, true, false, true, 
old rinkrank brothers grimm.txt, true, true, true, 
old sultan brothers grimm.txt, true, true, true, 
ole the tower keeper h c andersen.txt, true, false, true, 
one eye two eyes and three eyes brothers grimm.txt, true, true, true, 
our lady s child brothers grimm.txt, false, false, false, 
prince ahmed and the fairy arabian writer.txt, false, false, false, 
prince beder and the princess giauhara arabian writer.txt, false, false, false, 
prince camaralzaman and the princess of china arabian writer.txt, false, false, false, 
punchkin indian writer.txt, false, false, false, 
raja rasalu indian writer.txt, false, false, false, 
rapunzel brothers grimm.txt, false, false, false, 
richard minutolo la fontain.txt, false, false, false, 
rumpelstiltskin brothers grimm.txt, false, true, false, 
samurai japanese writer.txt, true, true, true, 
seventh evening h c andersen.txt, false, false, false, 
sharing joy and sorrow brothers grimm.txt, true, false, true, 
she was good for nothing h c andersen.txt, true, true, true, 
simeli mountain brothers grimm.txt, false, false, false, 
sister jane la fontain.txt, true, true, true, 
snow white and rose red brothers grimm.txt, true, false, true, 
something h c andersen.txt, false, false, false, 
soup on a sausage peg h c andersen.txt, false, false, false, 
st. julian s prayer la fontain.txt, false, false, false, 
stories about snakes brothers grimm.txt, false, false, false, 
strong hans brothers grimm.txt, false, false, false, 
sweet porridge brothers grimm.txt, true, false, true, 
sweetheart roland brothers grimm.txt, true, false, true, 
tenth evening h c andersen.txt, false, false, false, 
the adventures of kintaro the golden boy japanese writer.txt, true, true, true, 
the amorous courtesan la fontain.txt, true, true, true, 
the avaricious wife and tricking gallant la fontain.txt, false, false, false, 
the bamboo cutter and the moon child japanese writer.txt, false, false, false, 
the barber shop again arthur scott bailey.txt, true, true, true, 
the beetle h c andersen.txt, false, false, false, 
the bell deep h c andersen.txt, true, false, true, 
the blue light brothers grimm.txt, false, false, false, 
the bond of friendship h c andersen.txt, false, false, false, 
the boots of buffalo leather brothers grimm.txt, false, false, false, 
the bottle neck h c andersen.txt, true, false, true, 
the boy who had a moon on his forehead and a star on his chin indian writer.txt, true, true, true, 
the bremen town musicians brothers grimm.txt, false, false, false, 
the bright sun brings it to light brothers grimm.txt, true, false, true, 
the broken pot indian writer.txt, true, false, true, 
the bucking tub la fontain.txt, true, false, true, 
the butterfly h c andersen.txt, true, false, true, 
the case of conscience la fontain.txt, false, true, false, 
the charmed ring indian writer.txt, false, false, false, 
the child in the grave h c andersen.txt, false, false, false, 
the clyster la fontain.txt, false, false, false, 
the cobbler la fontain.txt, true, true, true, 
the contract la fontain.txt, true, false, true, 
the convent gardener of lamporechio la fontain.txt, true, false, true, 
the country justice la fontain.txt, false, false, false, 
the countryman who sought his calf la fontain.txt, true, false, true, 
the cradle la fontain.txt, false, false, false, 
the cruel crane outwitted indian writer.txt, false, false, false, 
the crumbs on the table brothers grimm.txt, false, false, false, 
the crystal ball brothers grimm.txt, false, false, false, 
the cudgelled and contented cuckold la fontain.txt, true, false, true, 
the cunning little tailor brothers grimm.txt, true, false, true, 
the death of the little hen brothers grimm.txt, false, false, false, 
the demon with the matted hair indian writer.txt, false, false, false, 
the devil and his grandmother brothers grimm.txt, false, false, false, 
the devil in hell la fontain.txt, true, false, true, 
the devil of pope fig island la fontain.txt, false, false, false, 
the devil s sooty brother brothers grimm.txt, true, false, true, 
