name	time	happiness
a christmas tale h c andersen.txt	1	0,9958
a christmas tale h c andersen.txt	2	0,000
a christmas tale h c andersen.txt	3	0,1118
a christmas tale h c andersen.txt	4	0,2253
a christmas tale h c andersen.txt	5	1,000
a christmas tale h c andersen.txt	6	0,9627
a christmas tale h c andersen.txt	7	0,5706
a christmas tale h c andersen.txt	8	0,1268
a christmas tale h c andersen.txt	9	0,1149
a christmas tale h c andersen.txt	10	0,3739
a confidant without knowing it or the stratagem la fontain.txt	1	0,6769
a confidant without knowing it or the stratagem la fontain.txt	2	0,7349
a confidant without knowing it or the stratagem la fontain.txt	3	0,7927
a confidant without knowing it or the stratagem la fontain.txt	4	0,4329
a confidant without knowing it or the stratagem la fontain.txt	5	0,1558
a confidant without knowing it or the stratagem la fontain.txt	6	0,000
a confidant without knowing it or the stratagem la fontain.txt	7	0,3856
a confidant without knowing it or the stratagem la fontain.txt	8	0,6316
a confidant without knowing it or the stratagem la fontain.txt	9	0,2391
a confidant without knowing it or the stratagem la fontain.txt	10	1,000
a lac of rupees for a bit of advice indian writer.txt	1	0,5703
a lac of rupees for a bit of advice indian writer.txt	2	0,000
a lac of rupees for a bit of advice indian writer.txt	3	0,4406
a lac of rupees for a bit of advice indian writer.txt	4	0,4221
a lac of rupees for a bit of advice indian writer.txt	5	1,000
a lac of rupees for a bit of advice indian writer.txt	6	0,5411
a lac of rupees for a bit of advice indian writer.txt	7	0,6355
a lac of rupees for a bit of advice indian writer.txt	8	0,4700
a lac of rupees for a bit of advice indian writer.txt	9	0,8957
a lac of rupees for a bit of advice indian writer.txt	10	0,9547
a leaf from the sky h c andersen.txt	1	0,6009
a leaf from the sky h c andersen.txt	2	0,5810
a leaf from the sky h c andersen.txt	3	0,4950
a leaf from the sky h c andersen.txt	4	0,5553
a leaf from the sky h c andersen.txt	5	1,000
a leaf from the sky h c andersen.txt	6	0,1964
a leaf from the sky h c andersen.txt	7	0,4473
a leaf from the sky h c andersen.txt	8	0,5371
a leaf from the sky h c andersen.txt	9	0,000
a leaf from the sky h c andersen.txt	10	0,3846
a riddling tale brothers grimm.txt	1	0,7197
a riddling tale brothers grimm.txt	2	0,7605
a riddling tale brothers grimm.txt	3	0,6609
a riddling tale brothers grimm.txt	4	0,4042
a riddling tale brothers grimm.txt	5	0,5364
a riddling tale brothers grimm.txt	6	0,3454
a riddling tale brothers grimm.txt	7	1,000
a riddling tale brothers grimm.txt	8	0,1504
a riddling tale brothers grimm.txt	9	0,1944
a riddling tale brothers grimm.txt	10	0,000
a story from the sand dunes h c andersen.txt	1	1,000
a story from the sand dunes h c andersen.txt	2	0,3622
a story from the sand dunes h c andersen.txt	3	0,3797
a story from the sand dunes h c andersen.txt	4	0,1598
a story from the sand dunes h c andersen.txt	5	0,000
a story from the sand dunes h c andersen.txt	6	0,1532
a story from the sand dunes h c andersen.txt	7	0,3915
a story from the sand dunes h c andersen.txt	8	0,1595
a story from the sand dunes h c andersen.txt	9	0,2709
a story from the sand dunes h c andersen.txt	10	0,1665
a story of old japan japanese writer.txt	1	0,9422
a story of old japan japanese writer.txt	2	0,8778
a story of old japan japanese writer.txt	3	0,9441
a story of old japan japanese writer.txt	4	1,000
a story of old japan japanese writer.txt	5	0,4941
a story of old japan japanese writer.txt	6	0,7098
a story of old japan japanese writer.txt	7	0,2206
a story of old japan japanese writer.txt	8	0,03530
a story of old japan japanese writer.txt	9	0,000
a story of old japan japanese writer.txt	10	0,03140
a terrible fright arthur scott bailey.txt	1	1,000
a terrible fright arthur scott bailey.txt	2	0,1114
a terrible fright arthur scott bailey.txt	3	0,4847
a terrible fright arthur scott bailey.txt	4	0,4747
a terrible fright arthur scott bailey.txt	5	0,8131
a terrible fright arthur scott bailey.txt	6	0,9594
a terrible fright arthur scott bailey.txt	7	0,5366
a terrible fright arthur scott bailey.txt	8	0,4604
a terrible fright arthur scott bailey.txt	9	0,9864
a terrible fright arthur scott bailey.txt	10	0,000
alice sick la fontain.txt	1	0,01697
alice sick la fontain.txt	2	0,6172
alice sick la fontain.txt	3	0,3503
alice sick la fontain.txt	4	1,000
alice sick la fontain.txt	5	0,1390
alice sick la fontain.txt	6	0,000
alice sick la fontain.txt	7	0,4536
alice sick la fontain.txt	8	0,05453
alice sick la fontain.txt	9	0,1260
alice sick la fontain.txt	10	0,4168
allerleirauh brothers grimm.txt	1	0,8134
allerleirauh brothers grimm.txt	2	1,000
allerleirauh brothers grimm.txt	3	0,9973
allerleirauh brothers grimm.txt	4	0,2726
allerleirauh brothers grimm.txt	5	0,5157
allerleirauh brothers grimm.txt	6	0,6846
allerleirauh brothers grimm.txt	7	0,02652
allerleirauh brothers grimm.txt	8	0,000
allerleirauh brothers grimm.txt	9	0,2167
allerleirauh brothers grimm.txt	10	0,1014
an imitation of anacreon la fontain.txt	1	0,1459
an imitation of anacreon la fontain.txt	2	0,1830
an imitation of anacreon la fontain.txt	3	0,6381
an imitation of anacreon la fontain.txt	4	0,5087
an imitation of anacreon la fontain.txt	5	1,000
an imitation of anacreon la fontain.txt	6	0,8237
an imitation of anacreon la fontain.txt	7	0,6616
an imitation of anacreon la fontain.txt	8	0,6256
an imitation of anacreon la fontain.txt	9	0,000
an imitation of anacreon la fontain.txt	10	0,1410
an old chinese story japanese writer.txt	1	0,3732
an old chinese story japanese writer.txt	2	0,3814
an old chinese story japanese writer.txt	3	0,4006
an old chinese story japanese writer.txt	4	0,9534
an old chinese story japanese writer.txt	5	0,3129
an old chinese story japanese writer.txt	6	0,000
an old chinese story japanese writer.txt	7	0,05942
an old chinese story japanese writer.txt	8	0,9666
an old chinese story japanese writer.txt	9	1,000
an old chinese story japanese writer.txt	10	0,7786
anne lisbeth h c andersen.txt	1	0,9544
anne lisbeth h c andersen.txt	2	1,000
anne lisbeth h c andersen.txt	3	0,2922
anne lisbeth h c andersen.txt	4	0,5398
anne lisbeth h c andersen.txt	5	0,7807
anne lisbeth h c andersen.txt	6	0,3551
anne lisbeth h c andersen.txt	7	0,8062
anne lisbeth h c andersen.txt	8	0,000
anne lisbeth h c andersen.txt	9	0,5075
anne lisbeth h c andersen.txt	10	0,2687
bearskin brothers grimm.txt	1	0,3140
bearskin brothers grimm.txt	2	0,000
bearskin brothers grimm.txt	3	0,06434
bearskin brothers grimm.txt	4	0,4072
bearskin brothers grimm.txt	5	0,6643
bearskin brothers grimm.txt	6	0,2980
bearskin brothers grimm.txt	7	0,6200
bearskin brothers grimm.txt	8	0,3965
bearskin brothers grimm.txt	9	1,000
bearskin brothers grimm.txt	10	0,4932
belphegor addressed to miss de chammelay la fontain.txt	1	0,9857
belphegor addressed to miss de chammelay la fontain.txt	2	0,6009
belphegor addressed to miss de chammelay la fontain.txt	3	0,8589
belphegor addressed to miss de chammelay la fontain.txt	4	1,000
belphegor addressed to miss de chammelay la fontain.txt	5	0,6513
belphegor addressed to miss de chammelay la fontain.txt	6	0,4025
belphegor addressed to miss de chammelay la fontain.txt	7	0,5297
belphegor addressed to miss de chammelay la fontain.txt	8	0,4199
belphegor addressed to miss de chammelay la fontain.txt	9	0,000
belphegor addressed to miss de chammelay la fontain.txt	10	0,1558
briar rose brothers grimm.txt	1	0,4375
briar rose brothers grimm.txt	2	0,8335
briar rose brothers grimm.txt	3	0,9444
briar rose brothers grimm.txt	4	0,3239
briar rose brothers grimm.txt	5	0,7857
briar rose brothers grimm.txt	6	0,4532
briar rose brothers grimm.txt	7	1,000
briar rose brothers grimm.txt	8	0,6885
briar rose brothers grimm.txt	9	0,000
briar rose brothers grimm.txt	10	0,1692
brides on their trial brothers grimm.txt	1	0,5459
brides on their trial brothers grimm.txt	2	1,000
brides on their trial brothers grimm.txt	3	0,3816
brides on their trial brothers grimm.txt	4	0,3677
brides on their trial brothers grimm.txt	5	0,3684
brides on their trial brothers grimm.txt	6	0,3805
brides on their trial brothers grimm.txt	7	0,3463
brides on their trial brothers grimm.txt	8	0,000
brides on their trial brothers grimm.txt	9	0,2963
brides on their trial brothers grimm.txt	10	0,3187
brother lustig brothers grimm.txt	1	0,4219
brother lustig brothers grimm.txt	2	0,2617
brother lustig brothers grimm.txt	3	0,6583
brother lustig brothers grimm.txt	4	0,9691
brother lustig brothers grimm.txt	5	0,8709
brother lustig brothers grimm.txt	6	0,7312
brother lustig brothers grimm.txt	7	0,6448
brother lustig brothers grimm.txt	8	1,000
brother lustig brothers grimm.txt	9	0,3546
brother lustig brothers grimm.txt	10	0,000
cat and mouse in partnership brothers grimm.txt	1	1,000
cat and mouse in partnership brothers grimm.txt	2	0,9744
cat and mouse in partnership brothers grimm.txt	3	0,1860
cat and mouse in partnership brothers grimm.txt	4	0,000
cat and mouse in partnership brothers grimm.txt	5	0,9770
cat and mouse in partnership brothers grimm.txt	6	0,7908
cat and mouse in partnership brothers grimm.txt	7	0,4141
cat and mouse in partnership brothers grimm.txt	8	0,2919
cat and mouse in partnership brothers grimm.txt	9	0,4295
cat and mouse in partnership brothers grimm.txt	10	0,3986
charming h c andersen.txt	1	0,5848
charming h c andersen.txt	2	0,6565
charming h c andersen.txt	3	0,6161
charming h c andersen.txt	4	0,6677
charming h c andersen.txt	5	0,000
charming h c andersen.txt	6	0,3133
charming h c andersen.txt	7	0,5940
charming h c andersen.txt	8	1,000
charming h c andersen.txt	9	0,3055
charming h c andersen.txt	10	0,6274
cinderella brothers grimm.txt	1	1,000
cinderella brothers grimm.txt	2	0,2179
cinderella brothers grimm.txt	3	0,03736
cinderella brothers grimm.txt	4	0,000
