a christmas tale h c andersen.txt, 0.9958, 0.000, 0.1118, 0.2253, 1.000, 0.9627, 0.5706, 0.1268, 0.1149, 0.3739
a confidant without knowing it or the stratagem la fontain.txt, 0.6769, 0.7349, 0.7927, 0.4329, 0.1558, 0.000, 0.3856, 0.6316, 0.2391, 1.000
a lac of rupees for a bit of advice indian writer.txt, 0.5703, 0.000, 0.4406, 0.4221, 1.000, 0.5411, 0.6355, 0.4700, 0.8957, 0.9547
a leaf from the sky h c andersen.txt, 0.6009, 0.5810, 0.4950, 0.5553, 1.000, 0.1964, 0.4473, 0.5371, 0.000, 0.3846
a riddling tale brothers grimm.txt, 0.7197, 0.7605, 0.6609, 0.4042, 0.5364, 0.3454, 1.000, 0.1504, 0.1944, 0.000
a story from the sand dunes h c andersen.txt, 1.000, 0.3622, 0.3797, 0.1598, 0.000, 0.1532, 0.3915, 0.1595, 0.2709, 0.1665
a story of old japan japanese writer.txt, 0.9422, 0.8778, 0.9441, 1.000, 0.4941, 0.7098, 0.2206, 0.03530, 0.000, 0.03140
a terrible fright arthur scott bailey.txt, 1.000, 0.1114, 0.4847, 0.4747, 0.8131, 0.9594, 0.5366, 0.4604, 0.9864, 0.000
alice sick la fontain.txt, 0.01697, 0.6172, 0.3503, 1.000, 0.1390, 0.000, 0.4536, 0.05453, 0.1260, 0.4168
allerleirauh brothers grimm.txt, 0.8134, 1.000, 0.9973, 0.2726, 0.5157, 0.6846, 0.02652, 0.000, 0.2167, 0.1014
an imitation of anacreon la fontain.txt, 0.1459, 0.1830, 0.6381, 0.5087, 1.000, 0.8237, 0.6616, 0.6256, 0.000, 0.1410
an old chinese story japanese writer.txt, 0.3732, 0.3814, 0.4006, 0.9534, 0.3129, 0.000, 0.05942, 0.9666, 1.000, 0.7786
anne lisbeth h c andersen.txt, 0.9544, 1.000, 0.2922, 0.5398, 0.7807, 0.3551, 0.8062, 0.000, 0.5075, 0.2687
bearskin brothers grimm.txt, 0.3140, 0.000, 0.06434, 0.4072, 0.6643, 0.2980, 0.6200, 0.3965, 1.000, 0.4932
belphegor addressed to miss de chammelay la fontain.txt, 0.9857, 0.6009, 0.8589, 1.000, 0.6513, 0.4025, 0.5297, 0.4199, 0.000, 0.1558
briar rose brothers grimm.txt, 0.4375, 0.8335, 0.9444, 0.3239, 0.7857, 0.4532, 1.000, 0.6885, 0.000, 0.1692
brides on their trial brothers grimm.txt, 0.5459, 1.000, 0.3816, 0.3677, 0.3684, 0.3805, 0.3463, 0.000, 0.2963, 0.3187
brother lustig brothers grimm.txt, 0.4219, 0.2617, 0.6583, 0.9691, 0.8709, 0.7312, 0.6448, 1.000, 0.3546, 0.000
cat and mouse in partnership brothers grimm.txt, 1.000, 0.9744, 0.1860, 0.000, 0.9770, 0.7908, 0.4141, 0.2919, 0.4295, 0.3986
charming h c andersen.txt, 0.5848, 0.6565, 0.6161, 0.6677, 0.000, 0.3133, 0.5940, 1.000, 0.3055, 0.6274
cinderella brothers grimm.txt, 1.000, 0.2179, 0.03736, 0.000, 0.2977, 0.4558, 0.5274, 0.5079, 0.1952, 0.4616
clever elsie brothers grimm.txt, 0.8639, 0.07268, 0.1787, 0.2462, 0.8693, 0.3606, 0.6081, 1.000, 0.3847, 0.000
